Date,Data
01/07/1993,7785
01/06/1993,7700
01/05/1993,7585
01/04/1993,7435
01/03/1993,7389
01/02/1993,7112
01/01/1993,6639
01/12/1992,7396
01/11/1992,7102
01/10/1992,7338
01/09/1992,7344
01/08/1992,7380
01/07/1992,7639
01/06/1992,7460
01/05/1992,7328
01/04/1992,7238
01/03/1992,7137
01/02/1992,6963
01/01/1992,6869
01/12/1991,7224
01/11/1991,7008
01/10/1991,7281
01/09/1991,7083
01/08/1991,7528
01/07/1991,7561
01/06/1991,7456
01/05/1991,7437
01/04/1991,7137
01/03/1991,7017
01/02/1991,6838
01/01/1991,6645
01/12/1990,6978
01/11/1990,7241
01/10/1990,7226
01/09/1990,6914
01/08/1990,7796
01/07/1990,7496
01/06/1990,7519
01/05/1990,7358
01/04/1990,7121
01/03/1990,7338
01/02/1990,7179
01/01/1990,6643
01/12/1989,7410
01/11/1989,7353
01/10/1989,7302
01/09/1989,7240
01/08/1989,7717
01/07/1989,7296
01/06/1989,7780
01/05/1989,7381
01/04/1989,7157
01/03/1989,7421
01/02/1989,7119
01/01/1989,6745
01/12/1988,7344
01/11/1988,7379
01/10/1988,7271
01/09/1988,7404
01/08/1988,7556
01/07/1988,7482
01/06/1988,7817
01/05/1988,7303
01/04/1988,7430
01/03/1988,7323
01/02/1988,7039
01/01/1988,6693
01/12/1987,7251
01/11/1987,7151
01/10/1987,7305
01/09/1987,7205
01/08/1987,7338
01/07/1987,7581
01/06/1987,7539
01/05/1987,7460
01/04/1987,7314
01/03/1987,6964
01/02/1987,6796
01/01/1987,6535
01/12/1986,7143
01/11/1986,6879
01/10/1986,7250
01/09/1986,6864
01/08/1986,7435
01/07/1986,7436
01/06/1986,7209
01/05/1986,7106
01/04/1986,7105
01/03/1986,6955
01/02/1986,6469
01/01/1986,6502
01/12/1985,6792
01/11/1985,6770
01/10/1985,6897
01/09/1985,6629
01/08/1985,7242
01/07/1985,7008
01/06/1985,6997
01/05/1985,7060
01/04/1985,6956
01/03/1985,6664
01/02/1985,6587
01/01/1985,6348
01/12/1984,6555
01/11/1984,6800
01/10/1984,6729
01/09/1984,6588
01/08/1984,7093
01/07/1984,6830
01/06/1984,7107
01/05/1984,6890
01/04/1984,6676
01/03/1984,6528
01/02/1984,6231
01/01/1984,6265
01/12/1983,6846
01/11/1983,6603
01/10/1983,6588
01/09/1983,6727
01/08/1983,6936
01/07/1983,6765
01/06/1983,6994
01/05/1983,6617
01/04/1983,6452
01/03/1983,6836
01/02/1983,6000
01/01/1983,6051
01/12/1982,6549
01/11/1982,6574
01/10/1982,6391
01/09/1982,6531
01/08/1982,6614
01/07/1982,6790
01/06/1982,6835
01/05/1982,6655
01/04/1982,6897
01/03/1982,6466
01/02/1982,6196
01/01/1982,5961
01/12/1981,6681
01/11/1981,6373
01/10/1981,6578
01/09/1981,6662
01/08/1981,6637
01/07/1981,6823
01/06/1981,7028
01/05/1981,6615
01/04/1981,6602
01/03/1981,6303
01/02/1981,6301
01/01/1981,6431
01/12/1980,6632
01/11/1980,6234
01/10/1980,6662
01/09/1980,6510
01/08/1980,6648
01/07/1980,6743
01/06/1980,6657
01/05/1980,6729
01/04/1980,6800
01/03/1980,6406
01/02/1980,6596
01/01/1980,6323
01/12/1979,6730
01/11/1979,6791
01/10/1979,7020
01/09/1979,6881
01/08/1979,7330
01/07/1979,6902
01/06/1979,7191
01/05/1979,7213
01/04/1979,7055
01/03/1979,7229
01/02/1979,7254
01/01/1979,6830
01/12/1978,7451
01/11/1978,7503
01/10/1978,7448
01/09/1978,7399
01/08/1978,7872
01/07/1978,7576
01/06/1978,7913
01/05/1978,7724
01/04/1978,7202
01/03/1978,7255
01/02/1978,6876
01/01/1978,6681
01/12/1977,7375
01/11/1977,7191
01/10/1977,7130
01/09/1977,7316
01/08/1977,7420
01/07/1977,7439
01/06/1977,7593
01/05/1977,7029
01/04/1977,7345
01/03/1977,6908
01/02/1977,6900
01/01/1977,6472
01/12/1976,7138
01/11/1976,7038
01/10/1976,6929
01/09/1976,7079
01/08/1976,7168
01/07/1976,7315
01/06/1976,7482
01/05/1976,6853
01/04/1976,7159
01/03/1976,6890
01/02/1976,6263
01/01/1976,6398
01/12/1975,6808
01/11/1975,6390
01/10/1975,6778
01/09/1975,6729
01/08/1975,7008
01/07/1975,7041
01/06/1975,7076
01/05/1975,6871
01/04/1975,6718
01/03/1975,6326
01/02/1975,6096
01/01/1975,6206
01/12/1974,6558
01/11/1974,6547
01/10/1974,6712
01/09/1974,6388
01/08/1974,7061
01/07/1974,6959
01/06/1974,6919
01/05/1974,6745
01/04/1974,6457
01/03/1974,6162
01/02/1974,6100
01/01/1974,5804
01/12/1973,6237
01/11/1973,6823
01/10/1973,6677
01/09/1973,6581
01/08/1973,7257
01/07/1973,7023
01/06/1973,6964
01/05/1973,6907
01/04/1973,6541
01/03/1973,6513
01/02/1973,6437
01/01/1973,6118
01/12/1972,6378
01/11/1972,6479
01/10/1972,6350
01/09/1972,6453
01/08/1972,6938
01/07/1972,6673
01/06/1972,6822
01/05/1972,6445
01/04/1972,6283
01/03/1972,6412
01/02/1972,5710
01/01/1972,5548
01/12/1971,6070
01/11/1971,6114
01/10/1971,6033
01/09/1971,6068
01/08/1971,6296
01/07/1971,6432
01/06/1971,6452
01/05/1971,5902
01/04/1971,6198
01/03/1971,5839
01/02/1971,5478
01/01/1971,5264
01/12/1970,5822
01/11/1970,5570
01/10/1970,5907
01/09/1970,5934
01/08/1970,6069
01/07/1970,6247
01/06/1970,6193
01/05/1970,5862
01/04/1970,5651
01/03/1970,5538
01/02/1970,5341
01/01/1970,5245
01/12/1969,5581
01/11/1969,5391
01/10/1969,5652
01/09/1969,5636
01/08/1969,5895
01/07/1969,5995
01/06/1969,5690
01/05/1969,5652
01/04/1969,5538
01/03/1969,5071
01/02/1969,5131
01/01/1969,5047
01/12/1968,5148
01/11/1968,5213
01/10/1968,5408
01/09/1968,5233
01/08/1968,5699
01/07/1968,5728
01/06/1968,5458
01/05/1968,5359
01/04/1968,5325
01/03/1968,4933
01/02/1968,4915
01/01/1968,4693
01/12/1967,4791
01/11/1967,5066
01/10/1967,5085
01/09/1967,5001
01/08/1967,5421
01/07/1967,5161
01/06/1967,5418
01/05/1967,5094
01/04/1967,4772
01/03/1967,4805
01/02/1967,4510
01/01/1967,4345
01/12/1966,4756
01/11/1966,4818
01/10/1966,4764
01/09/1966,4898
01/08/1966,5212
01/07/1966,5039
